"artwork",13,"tác ph<U+1EA9>m ngh<U+1EC7> thu<U+1EAD>t"
"bear",13,"ch<U+1ECB>u d<U+1EF1>ng"
"boxes",13,"h<U+1ED9>p"
"branch",13,"chi nhánh"
"brochure",13,"cu<U+1ED1>n sách nh<U+1ECF>"
"court",13,"tòa án"
"creating",13,"t<U+1EA1>o ra"
"davis",13,"davis"
"designer",13,"nhà thi<U+1EBF>t k<U+1EBF>"
"determine",13,"quy<U+1EBF>t tâm"
"dining",13,"an u<U+1ED1>ng"
"document",13,"tài li<U+1EC7>u"
"enclosed",13,"g<U+1EED>i kèm"
"energy",13,"nang lu<U+1EE3>ng"
"finally",13,"cu<U+1ED1>i cùng"
"gas",13,"khí ga"
"government",13,"chính quy<U+1EC1>n"
"hear",13,"Nghe"
"installation",13,"cài d<U+1EB7>t"
"institute",13,"h<U+1ECD>c vi<U+1EC7>n"
"interviews",13,"ph<U+1ECF>ng v<U+1EA5>n"
"jones",13,"jones"
"la",13,"la"
"light",13,"soi r<U+1ECD>i"
"mention",13,"d<U+1EC1> c<U+1EAD>p d<U+1EBF>n"
"multiple",13,"nhi<U+1EC1>u"
"participate",13,"tham d<U+1EF1>"
"payment",13,"thanh toán"
"programme",13,"chuong trình"
"proposed",13,"d<U+1EC1> xu<U+1EA5>t"
"rate",13,"t<U+1EF7> l<U+1EC7>"
"require",13,"yêu c<U+1EA7>u"
"reserve",13,"d<U+1EF1> tr<U+1EEF>"
"result",13,"k<U+1EBF>t qu<U+1EA3>"
"selected",13,"dã ch<U+1ECD>n"
"sell",13,"bán"
"selling",13,"bán hàng"
"seminars",13,"h<U+1ED9>i th<U+1EA3>o"
"senior",13,"c<U+1EA5>p cao"
"shirts",13,"Áo so mi"
"speak",13,"nói"
"standing",13,"d<U+1EE9>ng"
"submission",13,"n<U+1ED9>p h<U+1ED3> so"
"suggestions",13,"g<U+1EE3>i ý"
"taste",13,"mùi v<U+1ECB>"
"unique",13,"duy nh<U+1EA5>t"
"white",13,"tr<U+1EAF>ng"
"workshops",13,"h<U+1ED9>i th<U+1EA3>o"
"yesterday",13,"hôm qua"
"accepted",12,"Ðã du<U+1EE3>c ch<U+1EA5>p nh<U+1EAD>n"
"appointment",12,"cu<U+1ED9>c h<U+1EB9>n"
"associate",12,"k<U+1EBF>t h<U+1EE3>p"
"campaign",12,"chi<U+1EBF>n d<U+1ECB>ch"
"candidates",12,"<U+1EE9>ng c<U+1EED> viên"
"celebration",12,"l<U+1EC5> an m<U+1EEB>ng"
"centerville",12,"centerville"
"convenience",12,"s<U+1EF1> ti<U+1EC7>n l<U+1EE3>i"
"convenient",12,"thu<U+1EAD>n ti<U+1EC7>n"
"cooking",12,"n<U+1EA5>u nu<U+1EDB>ng"
"courses",12,"các khóa h<U+1ECD>c"
"deadline",12,"h<U+1EA1>n chót"
"difficult",12,"khó"
"dress",12,"d<U+1EA7>m"
"earlier",12,"s<U+1EDB>m hon"
"effective",12,"có hi<U+1EC7>u l<U+1EF1>c"
"executive",12,"ch<U+1EA5>p hành, qu<U+1EA3>n lý"
"facility",12,"co s<U+1EDF>"
"film",12,"phim <U+1EA3>nh"
"finance",12,"tài chánh"
"forms",12,"các hình th<U+1EE9>c"
"gallery",12,"b<U+1ED9> suu t<U+1EAD>p"
"game",12,"trò choi"
"gift",12,"quà t<U+1EB7>ng"
"hold",12,"t<U+1ED5> ch<U+1EE9>c"
"industries",12,"các ngành ngh<U+1EC1>"
"knowledge",12,"hi<U+1EC3>u bi<U+1EBF>t"
"learning",12,"h<U+1ECD>c t<U+1EAD>p"
"morris",12,"morris"
"motors",12,"d<U+1ED9>ng co"
"moving",12,"d<U+1ED9>ng"
"notes",12,"ghi chú"
"offices",12,"van phòng"
"optieris",12,"optieris"
"organization",12,"t<U+1ED5> ch<U+1EE9>c"
"password",12,"m<U+1EAD>t kh<U+1EA9>u m<U+1EDF> khóa"
"planned",12,"dã lên k<U+1EBF> ho<U+1EA1>ch"
"potential",12,"ti<U+1EC1>m nang"
"publication",12,"s<U+1EF1> xu<U+1EA5>t b<U+1EA3>n"
"raising",12,"nuôi n<U+1EA5>ng"
"region",12,"khu v<U+1EF1>c"
"related",12,"có liên quan"
"renovation",12,"c<U+1EA3>i t<U+1EA1>o"
"replaced",12,"thay th<U+1EBF>"
"returning",12,"tr<U+1EDF> v<U+1EC1>"
"route",12,"tuy<U+1EBF>n du<U+1EDD>ng"
"shoe",12,"giày"
"short",12,"ng<U+1EAF>n"
"significant",12,"có ý nghia"
"star",12,"ngôi sao"
"starting",12,"b<U+1EAF>t d<U+1EA7>u"
"swimming",12,"boi l<U+1ED9>i"
"talk",12,"nói chuy<U+1EC7>n"
"telephone",12,"Ði<U+1EC7>n tho<U+1EA1>i"
"topic",12,"d<U+1EC1> tài"
"transit",12,"quá c<U+1EA3>nh"
"traveling",12,"di du l<U+1ECB>ch"
"vice",12,"hành vi x<U+1EA5>u xa"
"visiting",12,"tham vi<U+1EBF>ng"
"weather",12,"th<U+1EDD>i ti<U+1EBF>t"
"writer",12,"nhà van"
"york",12,"york"
"_j",11,"_NS"
"activity",11,"ho<U+1EA1>t d<U+1ED9>ng"
"airlines",11,"các hãng hàng không"
"arrival",11,"d<U+1EBF>n"
"associates",11,"c<U+1ED9>ng s<U+1EF1>"
"association",11,"s<U+1EF1> k<U+1EBF>t h<U+1EE3>p"
"bags",11,"túi"
"beach",11,"b<U+1EDD> bi<U+1EC3>n"
"brand",11,"nhãn hi<U+1EC7>u"
"built",11,"du<U+1EE3>c xây d<U+1EF1>ng"
"carpets",11,"nh<U+1EEF>ng cái th<U+1EA3>m"
"cars",11,"ô tô"
"conducted",11,"ti<U+1EBF>n hành"
"consulting",11,"tu v<U+1EA5>n"
"data",11,"d<U+1EEF> li<U+1EC7>u"
"delayed",11,"trì hoãn"
"delivered",11,"dã giao hàng"
"directors",11,"d<U+1EA1>o di<U+1EC5>n"
"discussed",11,"th<U+1EA3>o lu<U+1EAD>n"
"display",11,"trung bày"
"drive",11,"lái xe"
"electronics",11,"thi<U+1EBF>t b<U+1ECB> di<U+1EC7>n t<U+1EED>"
"encourage",11,"khuy<U+1EBF>n khích"
"environmental",11,"thu<U+1ED9>c v<U+1EC1> môi tru<U+1EDD>ng"
"expect",11,"ch<U+1EDD> d<U+1EE3>i"
"extra",11,"ph<U+1EE5>"
"famous",11,"n<U+1ED5>i danh"
"feel",11,"c<U+1EA3>m xúc"
"finished",11,"hoàn thành"
"frequent",11,"thu<U+1EDD>ng xuyên"
"grand",11,"l<U+1EDB>n"
"hand",11,"tay"
"handbook",11,"s<U+1ED5> tay"
"hashimoto",11,"hashimoto"
"iâ",11,"tôi"
"ingredients",11,"Thành ph<U+1EA7>n"
"insurance",11,"ti<U+1EC1>n b<U+1EA3>o hi<U+1EC3>m"
"internship",11,"k<U+1EF3> th<U+1EF1>c t<U+1EAD>p"
"invite",11,"m<U+1EDD>i g<U+1ECD>i"
"kilometers",11,"cây s<U+1ED1>"
"leadership",11,"Kh<U+1EA3> nang lãnh d<U+1EA1>o"
"lobby",11,"s<U+1EA3>nh d<U+1EE3>i"
"makes",11,"làm cho"
"mayor",11,"th<U+1ECB> tru<U+1EDF>ng"
"meters",11,"mét"
"mobile",11,"di d<U+1ED9>ng"
"model",11,"ngu<U+1EDD>i m<U+1EAB>u"
"musical",11,"âm nh<U+1EA1>c"
"nearby",11,"g<U+1EA7>n dây"
"noon",11,"không b<U+1EAD>t"
"option",11,"L<U+1EF1>a ch<U+1ECD>n"
"personnel",11,"nhân viên"
"pick",11,"nh<U+1EB7>t"
"plant",11,"cây"
"plastic",11,"nh<U+1EF1>a"
"prepared",11,"chu<U+1EA9>n b<U+1ECB>"
"prior",11,"tru<U+1EDB>c"
"produce",11,"s<U+1EA3>n xu<U+1EA5>t"
"programs",11,"chuong trình"
"publishing",11,"xu<U+1EA5>t b<U+1EA3>n"
"quarter",11,"ph<U+1EA7>n tu"
"recipes",11,"công th<U+1EE9>c n<U+1EA5>u an"
"residential",11,"khu dân cu"
"samples",11,"m<U+1EAB>u"
"sells",11,"bán"
"shipment",11,"chuy<U+1EBF>n hàng"
"signed",11,"dã ký"
"sizes",11,"kích thu<U+1EDB>c"
"stock",11,"C<U+1ED5> ph<U+1EA7>n"
"sunday",11,"ch<U+1EE7> nh<U+1EAD>t"
"television",11,"vô tuy<U+1EBF>n"
"trade",11,"buôn bán"
"unable",11,"không th<U+1EC3>"
"video",11,"bang hình"
"view",11,"quan di<U+1EC3>m"
"weekend",11,"ngày cu<U+1ED1>i tu<U+1EA7>n"
